tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,timestamp
8,4,64,4,8,2,16,16,32,1024,42.9035530090332,1994559
8,32,128,32,64,1,8,128,512,1024,46.453758239746094,1996704
16,8,64,4,64,8,4,4,512,16,11.003904342651367,1999568
16,2,16,64,128,32,32,1,1024,4,26.79500770568848,2001598
8,8,8,256,8,512,4,64,128,512,21.980159759521484,2004357
4,64,128,4,4,1,256,2,256,16,2248.322021484375,2008357
128,1,16,4,512,4,128,2,1024,2,2147483648.0,2020051
16,1,4,4,256,16,8,2,8,512,4.999167919158936,2021840
4,16,512,128,16,1,8,2,8,128,2147483648.0,2033242
64,4,32,64,128,2,8,64,1024,256,170.3731231689453,2035567
8,32,128,32,16,32,32,2,64,16,584.900634765625,2040594
4,2,256,8,32,1,4,4,512,64,7.467008113861084,2044704
64,2,32,64,64,64,16,2,64,8,268.1968688964844,2049337
8,8,64,16,8,32,64,1,128,512,187.13497924804688,2054077
4,4,8,8,256,16,8,4,8,16,100.5301742553711,2055972
8,128,256,128,16,2,1,32,32,1024,2147483648.0,2068241
8,1,8,32,8,128,512,2,512,8,1362.8385009765625,2070954
8,16,512,256,8,2,4,8,256,8,20.65100860595703,2075035
16,1,128,512,16,16,128,2,512,128,145.5820770263672,2083212
4,2,16,32,16,8,4,16,256,1024,1.6465920209884644,2084640
128,2,8,16,512,4,1,16,256,32,2147483648.0,2096140
8,8,8,8,8,256,32,16,64,128,275.9966735839844,2097596
4,2,64,256,4,16,8,8,128,128,3.4160640239715576,2099492
32,2,64,4,32,2,4,8,32,1024,7.204864025115967,2102160
16,4,4,32,16,16,2,8,8,8,1027.9833984375,2104284
4,4,128,16,4,64,32,32,256,128,20.86604881286621,2106679
16,32,32,8,64,2,16,2,1024,4,181.5695343017578,2110854
4,16,16,64,8,256,2,8,16,512,4.895743846893311,2112571
32,4,128,16,64,4,2,32,8,64,10.72332763671875,2115084
8,2,64,512,16,128,1,64,2,64,148.1553955078125,2116592
16,8,128,64,64,1,64,2,64,2,2147483648.0,2127944
16,1,8,16,32,128,2,1,4,256,19.36588859558105,2130794
64,8,32,64,128,32,64,2,256,512,132.61619567871094,2141524
4,4,4,8,4,256,128,4,256,16,1315.927001953125,2144098
16,32,128,8,32,16,2,32,64,128,46.03596878051758,2148280
4,2,1024,256,8,1,16,1,256,512,2147483648.0,2166159
64,2,8,8,256,16,1,2,2,16,509.85882568359375,2175574
4,4,16,8,8,256,32,1,64,4,1081.7218017578125,2178122
8,8,16,512,16,256,256,1,512,8,153.19039916992188,2180068
