tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp
32,1024,8,4,1.5278079509735107,38477901
64,1024,8,4,0.8663039803504944,38480920
64,1024,8,2,1.4141440391540527,38484563
64,512,8,4,1.4131200313568115,38487308
64,512,8,4,1.4131200313568115,38490759
64,1024,8,2,1.415168046951294,38493972
64,1024,8,4,0.8663039803504944,38497042
16,1024,8,1,2.9163520336151123,38500080
32,1024,4,4,1.59334397315979,38503034
32,1024,8,4,1.5278079509735107,38506183
64,256,8,4,2.45964789390564,38509329
64,512,8,4,1.4131200313568115,38512292
64,1024,8,4,0.8663039803504944,38515426
64,1024,8,4,0.8663039803504944,38518168
64,1024,8,4,0.8663039803504944,38521111
64,1024,16,2,0.8960000276565552,38524110
64,1024,8,4,0.8663039803504944,38526673
64,1024,8,4,0.8673279881477356,38529888
32,1024,8,4,1.5278079509735107,38532549
64,1024,8,4,0.8663039803504944,38534868
64,1024,8,8,1.134592056274414,38537469
64,1024,8,4,0.8663039803504944,38539798
32,1024,4,16,2.0879359245300293,38542532
32,1024,8,4,1.528831958770752,38545739
64,1024,8,4,0.8652799725532532,38548771
32,1024,8,4,1.5267839431762695,38551095
64,1024,16,4,1.1458560228347778,38553952
64,1024,8,4,0.8663039803504944,38556245
32,512,4,4,2.629631996154785,38559005
64,1024,8,4,0.8652799725532532,38561880
64,1024,8,2,1.4141440391540527,38564401
32,1024,4,4,1.5923199653625488,38567483
64,1024,8,4,0.8663039803504944,38569754
32,256,8,4,4.636672019958496,38573069
32,1024,8,4,1.5267839431762695,38576015
64,1024,8,4,0.8663039803504944,38578398
64,1024,8,4,0.8663039803504944,38581148
64,1024,8,2,1.4141440391540527,38583369
32,1024,8,4,1.5267839431762695,38586379
32,1024,4,4,1.5923199653625488,38589052
64,1024,8,4,0.8663039803504944,38592038
64,256,4,4,2.465791940689087,38595342
16,1024,8,4,2.8375039100646973,38598528
32,1024,4,4,1.5923199653625488,38601800
64,1024,8,4,0.8652799725532532,38605006
64,1024,8,4,0.8663039803504944,38608569
64,1024,8,4,0.8663039803504944,38611773
64,1024,8,4,0.8673279881477356,38614627
64,1024,8,4,0.8663039803504944,38617221
64,512,8,4,1.4131200313568115,38620573
64,1024,8,4,0.8663039803504944,38623374
128,1024,8,8,1.1489280462265017,38626242
64,1024,8,4,0.8663039803504944,38629162
64,1024,8,4,0.8673279881477356,38631495
64,1024,8,4,0.8663039803504944,38634454
32,1024,8,4,1.5278079509735107,38637441
32,1024,4,4,1.5923199653625488,38640384
32,1024,8,4,1.5267839431762695,38643027
16,1024,8,4,2.8375039100646973,38645599
64,1024,8,4,0.8663039803504944,38648364
64,1024,8,2,1.415168046951294,38651141
32,1024,4,4,1.5923199653625488,38653529
32,1024,8,4,1.5267839431762695,38656341
64,1024,8,4,0.8663039803504944,38658847
32,1024,8,4,1.5267839431762695,38661500
32,1024,4,4,1.5923199653625488,38664510
64,1024,8,2,1.415168046951294,38667313
64,1024,8,4,0.8663039803504944,38669848
32,1024,8,4,1.5278079509735107,38672872
64,512,8,4,1.4131200313568115,38676317
64,1024,8,4,0.8663039803504944,38679263
64,1024,8,4,0.8663039803504944,38681956
64,1024,4,4,1.4704639911651611,38684839
64,256,8,8,3.423232078552246,38687154
64,512,8,4,1.4120960235595703,38690161
64,1024,8,4,0.8652799725532532,38693118
256,1024,32,1,0.94515198469162,38696296
64,1024,32,1,0.894976019859314,38699430
64,1024,32,1,0.8939520120620728,38702688
128,1024,32,1,0.9215999841690063,38705431
64,1024,8,4,0.8663039803504944,38707950
16,256,8,2,8.804351806640625,38711769
64,1024,8,4,0.8663039803504944,38714784
64,512,8,4,1.4131200313568115,38717545
128,1024,32,1,0.9215999841690063,38720312
64,1024,8,4,0.8663039803504944,38722906
32,1024,8,4,1.5278079509735107,38725958
128,512,16,4,2.0592639446258545,38729000
32,32,4,4,30.18854331970215,38733303
64,1024,8,8,1.134592056274414,38736201
1024,1024,8,4,1.0024960041046145,38739279
1024,1024,8,2,1.5503360033035278,38742834
32,1024,4,4,1.5923199653625488,38745777
128,1024,16,4,1.1929600238800049,38748768
64,1024,8,4,0.8663039803504944,38751666
64,1024,8,4,0.8663039803504944,38754084
32,512,4,4,2.629631996154785,38757169
32,1024,4,4,1.5923199653625488,38759409
64,1024,8,128,1.2042239904403689,38762432
64,1024,8,16,1.137663960456848,38765561
64,512,8,4,1.4120960235595703,38768700
128,1024,8,4,0.899071991443634,38771023
64,1024,16,2,0.8970239758491516,38773894
64,512,8,4,1.4120960235595703,38776943
64,1024,8,4,0.8663039803504944,38779771
64,1024,8,4,0.8663039803504944,38782165
32,1024,8,4,1.5278079509735107,38785295
64,1024,8,4,0.8663039803504944,38788482
16,1024,8,4,2.8375039100646973,38791442
16,1024,8,2,2.83955192565918,38794571
256,512,32,8,2.238464117050171,38797581
32,1024,8,4,1.5267839431762695,38800543
16,1024,1,4,5.164031982421875,38803640
64,1024,8,2,1.4141440391540527,38806518
64,1024,8,2,1.415168046951294,38809318
64,1024,8,16,1.1386879682540894,38812055
32,1024,8,4,1.5278079509735107,38815136
64,1024,8,8,1.1335680484771729,38818336
64,1024,8,4,0.8663039803504944,38821514
16,1024,8,4,2.8385279178619385,38824740
64,1024,8,4,0.8652799725532532,38827914
32,1024,8,4,1.5267839431762695,38831403
128,1024,32,4,1.227776050567627,38833853
16,1024,8,1,2.9163520336151123,38836263
512,1024,8,4,0.963584005832672,38838928
32,1024,8,4,1.5278079509735107,38841554
64,1024,8,1,1.9824639558792116,38843964
32,1024,4,4,1.5923199653625488,38846572
64,1024,8,4,0.8663039803504944,38849442
256,1024,32,1,0.9461759924888612,38852050
64,1024,32,1,0.8939520120620728,38855334
64,1024,16,2,0.8960000276565552,38858555
64,1024,8,1,1.9824639558792116,38862334
16,8,1,4,229.58285522460935,38864572
64,128,8,4,4.465663909912109,38867696
8,1024,8,4,5.43232011795044,38870918
64,1024,32,1,0.8939520120620728,38873815
128,1024,32,1,0.9205759763717652,38876220
64,1024,32,1,0.8939520120620728,38878816
64,1024,16,2,0.8960000276565552,38881993
64,4,8,4,122.95065307617188,38884013
32,1024,4,4,1.5923199653625488,38886694
64,1024,8,2,1.415168046951294,38889311
64,1024,8,64,1.223680019378662,38892055
32,1024,4,8,1.5523840188980105,38894660
64,1024,8,1,1.9824639558792116,38897415
64,16,8,4,31.538175582885746,38901446
64,128,8,1,4.45030403137207,38904256
32,1024,4,4,1.5923199653625488,38907286
16,1024,2,4,2.9808640480041504,38910394
64,256,8,4,2.45964789390564,38913620
512,1024,512,1,2.618367910385132,38917023
64,1024,8,4,0.8663039803504944,38919868
128,1024,64,2,1.1704319715499878,38922343
64,1024,8,4,0.8663039803504944,38925379
64,1024,8,2,1.415168046951294,38928331
64,1024,32,1,0.8939520120620728,38930595
256,512,32,1,1.4540799856185913,38933290
64,1024,16,1,1.398784041404724,38936276
64,1024,8,1,1.9824639558792116,38939433
64,1024,8,1,1.9824639558792116,38942149
64,1024,8,4,0.8673279881477356,38944864
32,1024,8,1,2.569216012954712,38947900
64,1024,4,4,1.4704639911651611,38950892
16,1024,16,2,2.771967887878418,38953615
128,1024,64,1,1.1857919692993164,38956095
128,1024,8,4,0.899071991443634,38959008
64,1024,8,2,1.4141440391540527,38962072
32,1024,8,4,1.5267839431762695,38964410
64,128,8,4,4.465663909912109,38967446
128,1024,32,2,1.1663360595703125,38969913
