tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp
1024,1,8,1,4.092927932739258,10599226
1024,2,8,1,4.0570878982543945,10601626
1024,1,16,1,4.100096225738525,10604244
1024,4,4,1,5.694464206695557,10607332
1024,4,16,1,4.047872066497803,10609627
1024,8,32,1,3.992575883865357,10611454
1024,8,32,1,3.992575883865357,10614098
512,8,32,1,7.968768119812012,10616865
1024,8,32,1,3.992575883865357,10619480
1024,4,32,1,4.084735870361328,10622531
1024,8,8,2,4.417535781860352,10625712
1024,16,32,1,4.384768009185791,10628097
1024,8,16,1,4.393983840942383,10630395
1024,4,128,1,5.141503810882568,10632537
512,16,32,1,7.949312210083008,10635793
1024,16,32,2,5.156864166259766,10637870
1024,32,8,2,8.704000473022461,10641265
1024,8,16,2,4.047872066497803,10643979
1024,4,16,1,4.046847820281982,10646392
1024,1,4,1,4.0663042068481445,10649488
1024,2,16,1,4.079616069793701,10653198
1024,2,16,1,4.078591823577881,10656511
1024,8,64,1,5.092351913452148,10659378
1024,8,32,1,3.992575883865357,10662006
1024,8,32,1,3.992575883865357,10664422
512,8,32,1,7.968768119812012,10667094
1024,8,32,1,3.9915521144866943,10669054
1024,8,8,2,4.4165120124816895,10671819
1024,4,32,1,4.084735870361328,10674566
512,8,32,1,7.968768119812012,10677596
1024,64,32,32,12.589056015014648,10681181
1024,64,32,32,12.593152046203612,10684179
64,8,64,1,80.58675384521484,10692356
1024,8,16,1,4.399104118347168,10696068
1024,2,16,1,4.079616069793701,10699039
512,2,8,1,7.962624073028564,10702602
1024,2,8,1,4.0570878982543945,10704667
1024,8,32,1,3.992575883865357,10706810
1024,32,32,1,5.6750078201293945,10709316
1024,8,32,1,3.992575883865357,10711875
1024,16,32,2,5.158912181854248,10714140
1024,16,4,2,8.697855949401855,10717182
256,8,32,1,15.881216049194336,10720302
64,8,32,1,63.2360954284668,10727201
256,64,32,16,30.3687686920166,10732000
1024,64,2,32,9.278464317321776,10734869
32,8,32,1,126.30528259277344,10745152
1024,16,2,2,15.99283218383789,10748453
1024,8,16,1,4.395008087158203,10750895
1024,64,32,1,8.685567855834961,10753711
128,8,32,1,31.702016830444336,10757604
1024,32,32,8,7.33081579208374,10760818
1024,8,32,1,3.992575883865357,10763730
1024,32,32,8,7.33184003829956,10767135
